redcap_data_access_group;sl;n
arcispedale_sannaf;10;51
bentivoglio;10;6
carpi;4;11
carpi;5;2
cesena;10;24
cesena;11;34
fidenza;4;10
fidenza;5;7
fidenza;7;1
fidenza;8;2
imola;10;3
maggiore__bo;10;51
maggiore__bo;11;1
ospedale_parma;9;1
ospedale_parma;10;83
piacenza;9;30
piacenza;10;1
policlinicomo;11;80
ravenna;4;3
ravenna;5;6
ravenna;10;1
rimini;3;1
rimini;4;8
rimini;5;15
rimini;6;4
rimini;7;8
smaria_nuovare;8;66
sorsolamalpighibo;2;1
sorsolamalpighibo;5;19
sorsolamalpighibo;6;109
sorsolamalpighibo;NA;1
