VARIABILE;VARIABILE DI CONFRONTO;REGOLA;NOTE
CENTRE;NA;is.na(centre);
NUMLOC;NA;is.na(numloc);
BIRTH_DATE;DEATH_DATE;!is.na(birth_date) & !is.na(death_date) & !grepl('X', birth_date) & !grepl('X', death_date) & as.Date(death_date, '%d/%m/%Y') < as.Date(birth_date, '%d/%m/%Y');
SEX;MALFO 1:8;"sex == 3 & !(grepl(""^Q56"", malfo1) |grepl(""^Q56"", malfo2) |grepl(""^Q56"", malfo3) |grepl(""^Q56"", malfo4) |grepl(""^Q56"", malfo5) |grepl(""^Q56"", malfo6) |grepl(""^Q56"", malfo7) |grepl(""^Q56"", malfo8))";REGOLA DA CODICE A.P.
SEX;TYPE;sex == 9 & type %in% c(1,2);REGOLA DA CODICE A.P.
SEX;PM;sex == 9 & !(pm %in% c(3,4,9));REGOLA DA CODICE A.P.
NBRBABY;NBRMALF;nbrbaby > 1 & nbrbaby != 8 & is.na(nbrmalf);REGOLA DA CODICE A.P.
NBRBABY;NBRMALF;nbrbaby > 1 & nbrbaby != 8 & nbrmalf == 9;
NBRBABY;NBRMALF;nbrbaby > 1 & nbrbaby < 8 & nbrmalf > 0 & nbrmalf < 9 & nbrmalf >  nbrbaby ;REGOLA DA CODICE A.P.
SP_TWIN;NBRBABY;nbrbaby >= 2 & is.na(sp_twin);
TYPE;NA;is.na(type);
TYPE;WHENDISC;type == 4 &!(whendisc %in% c(6,9));REGOLA DA CODICE A.P.
TYPE;PRESYN;type == 4 & presyn == 2;
TYPE;SURVIVAL;type == 4 & !(survival %in% c(1,3,9));
TYPE;GESTLENGTH;type == 2 & gestlength < 20;
TYPE;PM - DEATH_DATE;type == 1 & pm %in% c(1,2,4) & !is.na(death_date);REGOLA DA CODICE A.P.
CIVREG;NA;is.na(civreg);
WEIGHT;NA;is.na(weight);
GESTLENGTH;NA;is.na(gestlength);
GESTLENGTH;FIRSTPRE;firstpre %in% c(1,2) & !is.na(gestlength) & gestlength > 22;
GESTLENGTH;FIRSTPRE;firstpre == 3 & !is.na(gestlength) & gestlength < 23;
SURVIVAL;DEATH_DATE;survival == 2 & is.na(death_date) & type == 1;REGOLA DA CODICE A.P.
SURVIVAL;DEATH_DATE;survival == 9 & is.na(death_date);
AGEMO;DATEMO;!is.na(agemo) & agemo != 99 & (agemo < 10 | agemo > 60);
BMI;NA;!is.na(bmi) & !(bmi == 99) & (bmi < 15 | bmi > 50);
RESIDMO;NA;is.na(residmo);
TOTPREG;NA;!is.na(totpreg) & !(totpreg %in% c(0:12, 99));
WHENDISC;PRESYN;whendisc == 6 & presyn != 1 & !(is.na(syndrome));
WHENDISC;NA;is.na(whendisc) ;
WHENDISC;PREMAL 1;whendisc == 6 & !(premal1 %in% c(2,9));
WHENDISC;PREMAL 2;whendisc == 6 & !(premal2 %in% c(2,9));
WHENDISC;PREMAL 3;whendisc == 6 & !(premal3 %in% c(2,9));
WHENDISC;PREMAL 4;whendisc == 6 & !(premal4 %in% c(2,9));
WHENDISC;PREMAL 5;whendisc == 6 & !(premal5 %in% c(2,9));
WHENDISC;PREMAL 6;whendisc == 6 & !(premal6 %in% c(2,9));
WHENDISC;PREMAL 7;whendisc == 6 & !(premal7 %in% c(2,9));
WHENDISC;PREMAL 8;whendisc == 6 & !(premal8 %in% c(2,9));
WHENDISC;SURVIVAL;whendisc == 7 & survival == 1;
WHENDISC;CONDISC;whendisc == 6 & condisc != 1;RIFARE VEDI TAB VERIFICATION ROUTINE EXTENDED
WHENDISC;CONDISC;whendisc == 7 & condisc != 2;
WHENDISC;AGEDISC;whendisc == 6 & is.na(agedisc);
WHENDISC;FIRSTPRE;whendisc == 6 & firstpre %in% c(8,9,10);
WHENDISC;TYPE;whendisc == 7 & !(type %in% c(3,4));
CONDISC;SURVIVAL;condisc == 2 & survival %in% c(1,3);
CONDISC;DEATH_DATE;"condisc == 2 & (is.na(death_date) | death_date == ""xxxx/xx/xx"")";
FIRSTPRE;PRESYN;firstpre %in% c(1:7,11) & presyn != 1;
FIRSTPRE;PREMAL 1:8;firstpre %in% c(1:7,11) &  !(premal1 == 1 | premal2 == 1 | premal3 == 1 | premal4 == 1 | premal5 == 1 | premal6 == 1 | premal7 == 1 | premal8 == 1);
FIRSTPRE;CONDISC;firstpre %in% c(1:7,11) & condisc == 2;
FIRSTPRE;SP_FIRSTPRE;"firstpre == 7 & (is.na(sp_firstpre) | sp_firstpre == """")";
FIRSTPRE;KARYO;firstpre %in% c(6,11) & karyo == 3;Se FIRSTPRE indica test genetico prenatale, ma KARYO ==3 <- not performed <- strano
KARYO;SP_KARYO;"karyo == 1 & (is.na(sp_karyo) | sp_karyo == """")";
KARYO;PRESYN;presyn == 1 & karyo == 3 & gentest == 3;Se PRESYN = 1 (diagnosi prenatale sindrome) ma KARYO = 3 e GENTEST = 3
SYNDROME;MALFO1;is.na(syndrome) & is.na(malfo1);
OMIM;SYNDROME;!is.na(omim) & is.na(syndrome);
NBRBABY;NBRMALF - PREVSIB;nbrbaby == 2 & nbrmalf == 2 & (is.na(prevsib) | prevsib != 1);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(drugs1);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(drugs2);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(drugs3);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(drugs4);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(drugs5);
FIRSTTRI;DRUG;firsttri %in% c(2,9) & !is.na(extra_drugs);
PREMAL;KARYO - GENTEST;premal1 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal2 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal3 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal4 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal5 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal6 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal7 ==1 & karyo == 3 & gentest == 3;
PREMAL;KARYO - GENTEST;premal8 ==1 & karyo == 3 & gentest == 3;
MALFO1;SP_MALFO1;"!is.na(malfo1) & (is.na(sp_malfo1) | sp_malfo1 == """")";
MALFO2;SP_MALFO2;"!is.na(malfo2) & (is.na(sp_malfo2) | sp_malfo2 == """")";
MALFO3;SP_MALFO3;"!is.na(malfo3) & (is.na(sp_malfo3) | sp_malfo3 == """")";
MALFO4;SP_MALFO4;"!is.na(malfo4) & (is.na(sp_malfo4) | sp_malfo4 == """")";
MALFO5;SP_MALFO5;"!is.na(malfo5) & (is.na(sp_malfo5) | sp_malfo5 == """")";
MALFO6;SP_MALFO6;"!is.na(malfo6) & (is.na(sp_malfo6) | sp_malfo6 == """")";
MALFO7;SP_MALFO7;"!is.na(malfo7) & (is.na(sp_malfo7) | sp_malfo7 == """")";
MALFO8;SP_MALFO8;"!is.na(malfo8) & (is.na(sp_malfo8) | sp_malfo8 == """")";
MONAOM;SP_MONAOM;"!is.na(moanom) & moanom %in% c(1,2,3) & (is.na(sp_moanom) | sp_moanom == """")";
SIBANOM;SP_SIBANOM;"!is.na(sibanom) & sibanom %in% c(1,2,3) & (is.na(sp_sibanom) | sp_sibanom == """")";
SYNDROME;SP_SYNDROME;"!is.na(syndrome) & (is.na(sp_syndrome) | sp_syndrome == """")";
GENTEST;SP_GENTEST;"gentest == 7 & (is.na(sp_gentest) | sp_gentest == """")";
CONSANG;SP_CONSANG;"consang == 1 & (is.na(sp_consang) | sp_consang == """")";
FAANOM;SP_FAANOM;"!is.na(faanom) & faanom %in% c(1,2,3) & (is.na(sp_faanom) | sp_faanom == """")";
WHENDISC;CONDISC, TYPE;whendisc == 6 & condisc == 2 & !(type %in% c(2,3));REGOLA DA CODICE A.P.
SURVIVAL;DIFF_DATE;"survival == 2 & !is.na(death_date) & !is.na(birth_date) & !grepl(""x"", death_date) & !grepl(""x"", birth_date) & abs(as.Date(death_date, format=""%d/%m/%Y"") - as.Date(birth_date, format=""%d/%m/%Y"")) > 7";REGOLA DA CODICE A.P.
AGEMO;TOTPREG;!is.na(agemo) & totpreg != 99 & ((agemo <= 15 & totpreg > 1) | (agemo >= 16 & agemo <= 19 & totpreg > 2));REGOLA DA CODICE A.P.
ILLDUR1;NA;!is.na(illdur1) & nchar(illdur1) > 4;REGOLA DA CODICE A.P.
ILLDUR2;NA;!is.na(illdur2) & nchar(illdur2) > 4;REGOLA DA CODICE A.P.
SURVIVAL;TYPE;survival == 1 & type != 1;
SURVIVAL;TYPE;survival == 3 & type != 1;
CONTROLLO VALORI AMMESSI;;(!is.na(sex) & !sex %in% c(1,2,3,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(type) & !type %in% c(1,2,3,4,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(civreg) & !civreg %in% c(1,2,3,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(survival) & !survival %in% c(1,2,3,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(whendisc) & !whendisc %in% c(1,2,3,4,5,6,7,9,10)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(condisc) & !condisc %in% c(1,2,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(firstpre) & !firstpre %in% c(1:11)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(karyo) & !karyo %in% c(1,2,3,4,8,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(gentest) & !gentest %in% c(1,2,3,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(pm) & !pm %in% c(1,2,3,4,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(presyn) & !presyn %in% c(1,2,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(consang) & !consang %in% c(0,1,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(sibanom) & !sibanom %in% c(1,2,3,4,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(moanom) & !moanom %in% c(1,2,3,4,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(faanom) & !faanom %in% c(1,2,3,4,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(nbrbaby) & !nbrbaby %in% c(1:9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(nbrmalf) & !nbrmalf %in% c(1:6,9)) |;
CONTROLLO VALORI AMMESSI;;(!is.na(firsttri) & !firsttri %in% c(1,2,4,9));
